Name,Street,City,State,Zip,Phone,Website,Type,Awards,Campus_setting,Campus_housing,Student_population,Student_to_faculty_ratio
American Medical Sciences Center, 225 West Broadway  Suite 410, Glendale, California,91204-5108,(818) 240-6900 x100,http://nces.ed.gov/transfer.asp?location=www.amsc.edu/,"4-year, primarily associate's, Private for-profit","One but less than two years certificate, Associates degree, Bachelors degree",City: Midsize,No,52 (all undergraduate),10 to 1
American Film Institute Conservatory,2021 N Western Ave, Los Angeles, California,90027-1625,(323) 856-7600,http://nces.ed.gov/transfer.asp?location=www.afi.com/,"4-year, Private not-for-profit","Postbaccalaureate certificate, Masters degree",City: Large,No,337 (0 undergraduate),
American Musical and Dramatic Academy,211 West 61st Street, New York, New York,10023,(212) 787-5300 x3331,http://nces.ed.gov/transfer.asp?location=www.amda.edu/,"4-year, primarily associate's, Private not-for-profit","Associates degree, Two but less than 4 years certificate, Bachelors degree, Masters degree",City: Large,Yes,"1,399 (1,395 undergraduate)",5 to 1
American Fitness and Nutrition Academy,350 South Lake Avenue, Pasadena, California,91101-3530,(626) 782-6200,http://nces.ed.gov/transfer.asp?location=afna.edu/,"< 2-year, Private for-profit",Less than one year certificate,City: Midsize,No,12 (all undergraduate),6 to 1
American Institute-Clifton,346 LEXINGTON AVE, CLIFTON, New Jersey,07011,(973) 340-9500,http://nces.ed.gov/transfer.asp?location=www.americaninstitute.com/,"2-year, Private for-profit","Less than one year certificate, One but less than two years certificate, Two but less than 4 years certificate",Suburb: Large,No,716 (all undergraduate),21 to 1
American Hair Academy,304 South Iris, Mt. Pleasant, Iowa,52641,(319) 219-6248,http://nces.ed.gov/transfer.asp?location=americanhairacademy.com/,"2-year, Private for-profit",Two but less than 4 years certificate,Town: Remote,No,20 (all undergraduate),10 to 1
American National University,1813 East Main Street, Salem, Virginia,24153,(540) 986-1800,http://nces.ed.gov/transfer.asp?sec=true&location=www.an.edu/locations/,"4-year, primarily associate's, Private for-profit","Less than one year certificate, One but less than two years certificate, Associates degree, Bachelors degree, Masters degree",Suburb: Midsize,No,931 (810 undergraduate),39 to 1
American Indian OIC Inc,1845 E. Franklin Ave, Minneapolis, Minnesota,55404-2221,(612) 341-3358 x100,http://nces.ed.gov/transfer.asp?location=www.aioic.org/,"< 2-year, Private not-for-profit",One but less than two years certificate,City: Large,No,4 (all undergraduate),3 to 1
American Institute of Alternative Medicine,6685 Doubletree Ave, Columbus, Ohio,43229,(614) 825-6255,http://nces.ed.gov/transfer.asp?location=www.aiam.edu/,"4-year, primarily associate's, Private for-profit","Less than one year certificate, One but less than two years certificate, Associates degree, Masters degree",City: Large,No,341 (321 undergraduate),19 to 1
American Institute-Somerset,80 Cottontail Lane, Somerset, New Jersey,08873-1100,(732) 201-8335,http://nces.ed.gov/transfer.asp?location=www.americaninstitute.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,390 (all undergraduate),19 to 1
American National University-Pikeville,50 National College Boulevard, Pikeville, Kentucky,41501-1520,(859) 253-0621,http://nces.ed.gov/transfer.asp?sec=true&location=www.an.edu/locations/,"4-year, primarily associate's, Private for-profit","Less than one year certificate, One but less than two years certificate, Associates degree, Bachelors degree",Rural: Fringe,No,210 (all undergraduate),19 to 1
American Institute of Alternative Medicine, 646 Rt. 18  Suite 210, East Brunswick, New Jersey,08816,(732) 651-6060,http://nces.ed.gov/transfer.asp?location=massageschoolnewjersey.com/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,30 (all undergraduate),5 to 1
American Institute-Toms River,2363 Lakewood Rd, Toms River, New Jersey,08755,(732) 719-2730,http://nces.ed.gov/transfer.asp?location=www.americaninstitute.com/,"2-year, Private for-profit","Less than one year certificate, One but less than two years certificate, Two but less than 4 years certificate",Suburb: Large,No,324 (all undergraduate),21 to 1
American Public University System,111 W Congress St, Charles Town, West Virginia,25414,(877) 755-2787,http://nces.ed.gov/transfer.asp?sec=true&location=www.apus.edu/,"4-year, Private for-profit","Less than one year certificate, Associates degree, Bachelors degree, Postbaccalaureate certificate, Masters degree, Doctors degree - research/scholarship",Town: Fringe,No,"50,047 (40,362 undergraduate)",23 to 1
American Institute-West Hartford,99 South Street, West Hartford, Connecticut,06110-1922,(860) 947-2299,http://nces.ed.gov/transfer.asp?location=americaninstitute.com/,"2-year, Private for-profit","Less than one year certificate, One but less than two years certificate, Two but less than 4 years certificate",Suburb: Large,No,383 (all undergraduate),17 to 1
American Institute of Beauty,3665 East Bay Drive Suite 164, Largo, Florida,33771,(727) 532-2125,http://nces.ed.gov/transfer.asp?location=www.aibschool.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,160 (all undergraduate),7 to 1
American River College,4700 College Oak Dr, Sacramento, California,95841-4286,(916) 484-8011,http://nces.ed.gov/transfer.asp?sec=true&location=www.arc.losrios.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree, Two but less than 4 years certificate",Suburb: Large,No,"25,422 (all undergraduate)",25 to 1
American Samoa Community College,P.O. Box 2609, Pago Pago, American Samoa,96799-2609,(684) 699-9155 x370,http://nces.ed.gov/transfer.asp?location=www.amsamoa.edu/,"4-year, primarily associate's, Public","One but less than two years certificate, Associates degree, Bachelors degree",Town: Remote,No,"1,081 (all undergraduate)",14 to 1
American InterContinental University,2200 E Germann Rd, Chandler, Arizona,85286,(877) 701-3800,http://nces.ed.gov/transfer.asp?location=www.aiuniv.edu/,"4-year, Private for-profit","Less than one year certificate, One but less than two years certificate, Associates degree, Bachelors degree, Postbaccalaureate certificate, Masters degree, Doctors degree - research/scholarship",Rural: Fringe,No,"15,415 (12,830 undergraduate)",43 to 1
American University of Puerto Rico, Carr. #2  Km.14.4  Bo. Hato Tejas, Bayamon, Puerto Rico,00960-2037,(787) 620-2040 x1040,http://nces.ed.gov/transfer.asp?location=aupr.edu/,"4-year, Private not-for-profit","Less than one year certificate, Associates degree, Bachelors degree, Postbaccalaureate certificate, Masters degree",City: Midsize,No,294 (281 undergraduate),17 to 1
American InterContinental University-Atlanta, 6600 Peachtree Dunwoody Road  500 Embassy Row, Atlanta, Georgia,30328,(404) 965-6500 x8118,http://nces.ed.gov/transfer.asp?location=www.aiuniv.edu/online-campus/campus-locations/atlanta,"4-year, Private for-profit","Less than one year certificate, Associates degree, Bachelors degree, Masters degree",City: Midsize,No,"1,465 (1,312 undergraduate)",13 to 1
American Sentinel College of Nursing and Health Sciences,800 Country Club Road, Waterbury, Connecticut,06723-2540,(303) 991-1575,http://nces.ed.gov/transfer.asp?location=www.americansentinel.edu/,"4-year, Private for-profit","Bachelors degree, Postbaccalaureate certificate, Masters degree, Post-masters certificate, Doctors degree - research/scholarship",City: Large,No,"2,761 (1,180 undergraduate)",11 to 1
AmeriTech College-Draper,12257 South Business Park Drive-Ste 100, Draper, Utah,84020-6545,(801) 816-1444,http://nces.ed.gov/transfer.asp?location=www.ameritech.edu/,"4-year, primarily associate's, Private for-profit","Associates degree, Bachelors degree, Masters degree",Suburb: Large,No,"1,429 (1,309 undergraduate)",13 to 1
American InterContinental University-Houston,9999 Richmond Avenue, Houston, Texas,77042,(832) 201-3600,http://nces.ed.gov/transfer.asp?location=www.aiuniv.edu/online-campus/campus-locations/houston,"4-year, Private for-profit","Less than one year certificate, Associates degree, Bachelors degree, Masters degree",City: Large,No,221 (190 undergraduate),13 to 1
American International College,1000 State Street, Springfield, Massachusetts,01109,(413) 737-7000,http://nces.ed.gov/transfer.asp?location=www.aic.edu/,"4-year, Private not-for-profit","Associates degree, Bachelors degree, Postbaccalaureate certificate, Masters degree, Post-masters certificate, Doctors degree - research/scholarship, Doctors degree - professional practice",City: Midsize,Yes,"2,612 (1,381 undergraduate)",18 to 1
American Islamic College,640 W Irving Park RD, Chicago, Illinois,60613,(773) 281-4700,http://nces.ed.gov/transfer.asp?location=www.aicusa.edu/,"4-year, Private not-for-profit","Bachelors degree, Masters degree",City: Large,Yes,16 (8 undergraduate),2 to 1
AMG School of Nursing,110 Bridge Street, Brooklyn, New York,11201-1728,(973) 508-9313,http://nces.ed.gov/transfer.asp?location=amg.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,258 (all undergraduate),30 to 1
American Technical Institute, Ave Castiglioni U-27  Bayamon Gardens, Bayamon, Puerto Rico,00957-0000,(787) 799-5060,http://nces.ed.gov/transfer.asp?location=www.amtec.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,11 (all undergraduate),6 to 1
American Jewish University,15600 Mulholland Dr, Los Angeles, California,90077-1519,(310) 476-9777,http://nces.ed.gov/transfer.asp?location=www.aju.edu/,"4-year, Private not-for-profit","Less than one year certificate, Bachelors degree, Masters degree",City: Large,Yes,93 (37 undergraduate),4 to 1
American Massage & Bodywork Institute, 1593 Spring Hill Road  Suite 210, Vienna, Virginia,22182-2245,(571) 620-7170,http://nces.ed.gov/transfer.asp?location=www.ambimassageschool.com/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,99 (all undergraduate),10 to 1
American Trade School,3925 Industrial Drive, Saint Ann, Missouri,63074-1807,(314) 423-1900,http://nces.ed.gov/transfer.asp?location=www.americantradeschool.edu/,"2-year, Private for-profit","One but less than two years certificate, Associates degree",Suburb: Large,No,128 (all undergraduate),9 to 1
Amherst College,Boltwood Avenue, Amherst, Massachusetts,01002-5000,(413) 542-2000,http://nces.ed.gov/transfer.asp?location=www.amherst.edu/,"4-year, Private not-for-profit",Bachelors degree,Suburb: Large,Yes,"1,745 (all undergraduate)",7 to 1
American University,4400 Massachusetts Ave NW, Washington, District of Columbia,20016-8001,(202) 885-1000,http://nces.ed.gov/transfer.asp?location=www.american.edu/,"4-year, Private not-for-profit","Less than one year certificate, Associates degree, Bachelors degree, Postbaccalaureate certificate, Masters degree, Doctors degree - research/scholarship, Doctors degree - professional practice",City: Large,Yes,"14,001 (7,953 undergraduate)",11 to 1
Amridge University,1200 Taylor Rd, Montgomery, Alabama,36117-3553,(334) 387-3877 x7550,http://nces.ed.gov/transfer.asp?location=www.amridgeuniversity.edu/,"4-year, Private not-for-profit","Associates degree, Bachelors degree, Masters degree, Doctors degree - research/scholarship",City: Midsize,No,775 (298 undergraduate),13 to 1
Angelo State University,2601 W. Avenue N, San Angelo, Texas,76909,(325) 942-2555,http://nces.ed.gov/transfer.asp?location=www.angelo.edu/,"4-year, Public","Less than one year certificate, Bachelors degree, Postbaccalaureate certificate, Masters degree, Post-masters certificate, Doctors degree - professional practice",City: Midsize,Yes,"10,775 (9,107 undergraduate)",21 to 1
American University of Health Sciences,1600 East Hill St, Signal Hill, California,90755-3612,(562) 988-2278 x2001,http://nces.ed.gov/transfer.asp?sec=true&location=www.auhs.edu/,"4-year, Private for-profit","One but less than two years certificate, Bachelors degree, Masters degree, Doctors degree - professional practice",Suburb: Large,No,408 (323 undergraduate),16 to 1
Ana G. Mendez University,5575 South Semoran Blvd. Suite #502, Orlando, Florida,32822,(407) 867-3677,http://nces.ed.gov/transfer.asp?location=www.agmu.edu/,"4-year, Private not-for-profit","Associates degree, Bachelors degree, Masters degree, Doctors degree - research/scholarship",City: Large,No,"2,505 (1,257 undergraduate)",23 to 1
Ann Webb Skin Institute,11701 Jollyville Road, Austin, Texas,78759-3936,(512) 614-4012,http://nces.ed.gov/transfer.asp?location=awskininstitute.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Large,No,146 (all undergraduate),25 to 1
Anabaptist Mennonite Biblical Seminary,3003 Benham Ave, Elkhart, Indiana,46517-1999,(574) 295-3726,http://nces.ed.gov/transfer.asp?location=www.ambs.edu/,"4-year, Private not-for-profit","Postbaccalaureate certificate, Masters degree",City: Small,Yes,107 (0 undergraduate),
American University of Puerto Rico,Carretera Estatal #2 Km.48.1, Manati, Puerto Rico,00674-1082,(787) 621-2835 x3601,http://nces.ed.gov/transfer.asp?location=aupr.edu/,"4-year, Private not-for-profit","Less than one year certificate, Associates degree, Bachelors degree, Postbaccalaureate certificate, Masters degree",Suburb: Large,No,360 (349 undergraduate),15 to 1
Anna Maria College,50 Sunset Lane, Paxton, Massachusetts,01612-1198,(508) 849-3300,http://nces.ed.gov/transfer.asp?location=www.annamaria.edu/,"4-year, Private not-for-profit","Bachelors degree, Postbaccalaureate certificate, Masters degree, Post-masters certificate",Rural: Fringe,Yes,"1,492 (1,126 undergraduate)",12 to 1
Ancilla College,9601 S. Union Road, Donaldson, Indiana,46513-0001,(574) 936-8898,http://nces.ed.gov/transfer.asp?sec=true&location=www.ancilla.edu/,"2-year, Private not-for-profit",Associates degree,Rural: Distant,Yes,344 (all undergraduate),8 to 1
Antioch University-Los Angeles,400 Corporate Pointe, Culver City, California,90230-7615,(310) 578-1080,http://nces.ed.gov/transfer.asp?location=www.antiochla.edu/,"4-year, Private not-for-profit","Bachelors degree, Postbaccalaureate certificate, Masters degree",Suburb: Large,No,924 (169 undergraduate),5 to 1
Anne Arundel Community College,101 College Pky, Arnold, Maryland,21012-1895,(410) 777-2222,http://nces.ed.gov/transfer.asp?location=www.aacc.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree",Suburb: Large,No,"11,948 (all undergraduate)",17 to 1
Anderson University,316 Boulevard, Anderson, South Carolina,29621-4035,(864) 231-2000,http://nces.ed.gov/transfer.asp?location=www.andersonuniversity.edu/,"4-year, Private not-for-profit","Bachelors degree, Postbaccalaureate certificate, Masters degree, Post-masters certificate, Doctors degree - research/scholarship, Doctors degree - professional practice, Doctors degree - other",City: Small,Yes,"3,848 (3,083 undergraduate)",16 to 1
Antioch University-New England,40 Avon St, Keene, New Hampshire,03431,(603) 357-3122,http://nces.ed.gov/transfer.asp?location=www.antiochne.edu/,"4-year, Private not-for-profit","Postbaccalaureate certificate, Masters degree, Post-masters certificate, Doctors degree - research/scholarship, Doctors degree - professional practice",Town: Distant,No,895 (0 undergraduate),
Annenberg School of Nursing,19300 Sherman Way, Reseda, California,91335-5426,(818) 757-4431,http://nces.ed.gov/transfer.asp?location=www.asn.edu/,"< 2-year, Private not-for-profit",One but less than two years certificate,City: Large,No,24 (all undergraduate),12 to 1
Antioch University-PhD Program in Leadership and Change,900 Dayton Street, Yellow Springs, Ohio,45387,(937) 769-1360,http://nces.ed.gov/transfer.asp?location=www.antioch.edu/gslc/,"4-year, Private not-for-profit","Masters degree, Doctors degree - research/scholarship",Rural: Fringe,No,157 (0 undergraduate),
Anoka Technical College,1355 Highway 10 West, Anoka, Minnesota,55303,(763) 433-1100,http://nces.ed.gov/transfer.asp?location=www.anokatech.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree, Two but less than 4 years certificate",Suburb: Large,No,"1,683 (all undergraduate)",15 to 1
Anderson University,1100 E 5th St, Anderson, Indiana,46012-3495,(765) 649-9071,http://nces.ed.gov/transfer.asp?sec=true&location=anderson.edu/,"4-year, Private not-for-profit","Associates degree, Bachelors degree, Masters degree, Doctors degree - research/scholarship",City: Small,Yes,"1,406 (1,205 undergraduate)",8 to 1
Antioch University-Santa Barbara,602 Anacapa Street, Santa Barbara, California,93101,(805) 962-8179,http://nces.ed.gov/transfer.asp?location=www.antiochsb.edu/,"4-year, Private not-for-profit","Bachelors degree, Postbaccalaureate certificate, Masters degree, Doctors degree - professional practice",City: Small,No,276 (66 undergraduate),7 to 1
Anoka-Ramsey Community College,11200 Mississippi Blvd NW, Coon Rapids, Minnesota,55433-3470,(763) 433-1100,http://nces.ed.gov/transfer.asp?location=www.anokaramsey.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree, Two but less than 4 years certificate",Suburb: Large,No,"8,482 (all undergraduate)",27 to 1
Antioch University-Seattle,2326 6th Ave, Seattle, Washington,98121-1814,(206) 441-5352,http://nces.ed.gov/transfer.asp?location=www.antiochseattle.edu/,"4-year, Private not-for-profit","Less than one year certificate, Bachelors degree, Postbaccalaureate certificate, Masters degree, Doctors degree - professional practice",City: Large,No,735 (99 undergraduate),3 to 1
Andrew College,501College St, Cuthbert, Georgia,39840-5550,(229) 732-2171,http://nces.ed.gov/transfer.asp?location=www.andrewcollege.edu/,"4-year, primarily associate's, Private not-for-profit","Less than one year certificate, One but less than two years certificate, Associates degree, Bachelors degree",Town: Distant,Yes,301 (all undergraduate),8 to 1
Another Level Barbering and Cosmetology School,102 North Sycamore Street, Petersburg, Virginia,23803-3245,(804) 733-3337,http://nces.ed.gov/transfer.asp?location=www.albcschool.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,7 (all undergraduate),2 to 1
AOMA Graduate School of Integrative Medicine,4701 Westgate Blvd, Austin, Texas,78745,(512) 454-1188,http://nces.ed.gov/transfer.asp?sec=true&location=aoma.edu/,"4-year, Private for-profit","Masters degree, Doctors degree - research/scholarship, Doctors degree - professional practice",City: Large,No,135 (0 undergraduate),
Anousheh School of Hair,1152 Vestal Avenue, Binghamton, New York,13903-1559,(607) 238-7736,http://nces.ed.gov/transfer.asp?location=www.anoushehschoolofhair.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,15 (all undergraduate),8 to 1
Aparicio-Levy Technical College,10119 East Ellicott Street, Tampa, Florida,33610,(813) 740-4884 x1,http://nces.ed.gov/transfer.asp?sec=true&location=www.hillsboroughschools.org/altc,"< 2-year, Public","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,417 (all undergraduate),17 to 1
Anson College of Cosmetology,1217 East Caswell Street, Wadesboro, North Carolina,28170-2147,(704) 694-6677,http://nces.ed.gov/transfer.asp?location=ansoncollegeofcosmetology.com/,"< 2-year, Private for-profit",One but less than two years certificate,Town: Distant,No,3 (all undergraduate),2 to 1
Andrews University, 4150 Administration Drive  Room 136, Berrien Springs, Michigan,49104,(800) 253-2874,http://nces.ed.gov/transfer.asp?location=www.andrews.edu/,"4-year, Private not-for-profit","Less than one year certificate, One but less than two years certificate, Associates degree, Bachelors degree, Postbaccalaureate certificate, Masters degree, Post-masters certificate, Doctors degree - research/scholarship, Doctors degree - other",Town: Fringe,Yes,"3,162 (1,579 undergraduate)",10 to 1
Apex Academy Hair Skin Nails School of Cosmetology,1788 West Fourth Street, Ontario, Ohio,44906-1793,(419) 709-8512,http://nces.ed.gov/transfer.asp?sec=true&location=www.apexacademy2013.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Small,No,35 (all undergraduate),6 to 1
Antelope Valley College,3041 West  Ave K, Lancaster, California,93536-5426,(661) 722-6300,http://nces.ed.gov/transfer.asp?location=www.avc.edu/,"4-year, primarily associate's, Public","Less than one year certificate, One but less than two years certificate, Associates degree, Bachelors degree",Suburb: Large,No,"12,057 (all undergraduate)",24 to 1
Angeles College,3440 Wilshire Blvd Ste 310, Los Angeles, California,90010,(213) 487-2211,http://nces.ed.gov/transfer.asp?sec=true&location=www.angelescollege.edu/,"4-year, primarily associate's, Private for-profit","Less than one year certificate, One but less than two years certificate, Two but less than 4 years certificate, Bachelors degree, Masters degree",City: Large,No,303 (298 undergraduate),25 to 1
Apex College of Veterinary Technology,330 South El Paso Street, Colorado Springs, Colorado,80903,(719) 375-8228,http://nces.ed.gov/transfer.asp?sec=true&location=www.apexcvt.edu/,"2-year, Private for-profit","Less than one year certificate, Associates degree",City: Large,No,46 (all undergraduate),12 to 1
Antilles School of Technical Careers,Calle Cayey # 1911, San Juan, Puerto Rico,00909,(787) 268-2244,http://nces.ed.gov/transfer.asp?sec=true&location=antillespr.edu/,"2-year, Private for-profit","One but less than two years certificate, Two but less than 4 years certificate",City: Large,No,432 (all undergraduate),33 to 1
Angeles Institute, 17100 PIONEER BLVD  SUITE 170, ARTESIA, California,90701-2713,(562) 531-4100,http://nces.ed.gov/transfer.asp?location=www.angelesinstitute.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,98 (all undergraduate),10 to 1
Apex Technical School,24-02 Queens Plaza South, Long Island City, New York,11101,(212) 645-3300,http://nces.ed.gov/transfer.asp?location=www.apexschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,"1,140 (all undergraduate)",18 to 1
Angelina College,3500 South First, Lufkin, Texas,75902-1768,(936) 639-1301,http://nces.ed.gov/transfer.asp?location=www.angelina.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree",Town: Remote,Yes,"4,195 (all undergraduate)",14 to 1
Apollo Career Center,3325 Shawnee Rd, Lima, Ohio,45806-1497,(419) 998-3000,http://nces.ed.gov/transfer.asp?sec=true&location=www.apollocareercenter.com/adult-education/,"< 2-year, Public","Less than one year certificate, One but less than two years certificate",Suburb: Small,No,551 (all undergraduate),5 to 1
Appalachian Beauty School,25429 US HWY 119N, Belfry, Kentucky,41514,(606) 519-3610,http://nces.ed.gov/transfer.asp?location=appalachianbeautyschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,Rural: Fringe,No,54 (all undergraduate),20 to 1
Appalachian State University,287 Rivers St, Boone, North Carolina,28608,(828) 262-2000,http://nces.ed.gov/transfer.asp?location=www.appstate.edu/,"4-year, Public","Bachelors degree, Postbaccalaureate certificate, Masters degree, Post-masters certificate, Doctors degree - research/scholarship",Town: Distant,Yes,"20,023 (18,061 undergraduate)",16 to 1
Appalachian Bible College,161 College Drive, Mount Hope, West Virginia,25880-9557,(304) 877-6428,http://nces.ed.gov/transfer.asp?sec=true&location=abc.edu/,"4-year, Private not-for-profit","One but less than two years certificate, Associates degree, Bachelors degree, Masters degree",Rural: Fringe,Yes,225 (221 undergraduate),7 to 1
Antioch College,1 Morgan Pl, Yellow Springs, Ohio,45387,(937) 319-6082,http://nces.ed.gov/transfer.asp?location=antiochcollege.edu/,"4-year, Private not-for-profit",Bachelors degree,Town: Fringe,Yes,116 (all undergraduate),7 to 1
Applied Technology Services,12721 West Watson Road, Sunset Hills, Missouri,63127,(314) 989-7500,http://nces.ed.gov/transfer.asp?location=www.appliedtech-stl.com/,"< 2-year, Public",One but less than two years certificate,Suburb: Large,No,126 (all undergraduate),13 to 1
Appalachian College of Pharmacy,1060 Dragon Road, Oakwood, Virginia,24631,(276) 498-4190 x5230,http://nces.ed.gov/transfer.asp?location=www.acp.edu/,"4-year, Private not-for-profit",Doctors degree - professional practice,Rural: Remote,No,180 (0 undergraduate),
Aquinas College,1700 Fulton St. E, Grand Rapids, Michigan,49506-1801,(616) 632-8900,http://nces.ed.gov/transfer.asp?location=www.aquinas.edu/,"4-year, Private not-for-profit","Associates degree, Bachelors degree, Masters degree",City: Midsize,Yes,"1,517 (1,372 undergraduate)",11 to 1
Antioch University,900 Dayton St, Yellow Springs, Ohio,45387,(937) 769-1800,http://nces.ed.gov/transfer.asp?location=midwest.antioch.edu/,"4-year, Private not-for-profit","Bachelors degree, Postbaccalaureate certificate, Masters degree",Rural: Fringe,No,,
Appalachian School of Law,1169 Edgewater Drive, Grundy, Virginia,24614,(276) 935-4349 x1231,http://nces.ed.gov/transfer.asp?location=www.asl.edu/,"4-year, Private not-for-profit","Masters degree, Doctors degree - professional practice",Rural: Remote,No,170 (0 undergraduate),
Aquinas Institute of Theology,23 South Spring Avenue, Saint Louis, Missouri,63108-3323,(314) 256-8800,http://nces.ed.gov/transfer.asp?location=www.ai.edu/,"4-year, Private not-for-profit","Postbaccalaureate certificate, Masters degree, Doctors degree - research/scholarship",City: Large,No,124 (0 undergraduate),
Arizona College of Nursing-Tempe, 1620 West Fountainhead Parkway  Suite 110, Tempe, Arizona,85282-1840,(855) 706-8382,http://nces.ed.gov/transfer.asp?sec=true&location=www.arizonacollege.edu/,"4-year, Private for-profit",Bachelors degree,City: Midsize,No,931 (all undergraduate),20 to 1
Antioch University Online,900 Dayton Street, Yellow Springs, Ohio,45387,(937) 769-1352,http://nces.ed.gov/transfer.asp?location=online.antioch.edu/,"4-year, Private not-for-profit","Bachelors degree, Masters degree",Rural: Fringe,No,257 (171 undergraduate),7 to 1
Arapahoe Community College,5900 S. Santa Fe Dr., Littleton, Colorado,80160-9002,(303) 797-4222,http://nces.ed.gov/transfer.asp?location=www.arapahoe.edu/,"4-year, primarily associate's, Public","One but less than two years certificate, Associates degree, Bachelors degree",Suburb: Large,No,"12,001 (all undergraduate)",23 to 1
Arizona College of Nursing-Tucson, 5285 East Williams Circle  Suite 1000, Tucson, Arizona,85711,(855) 706-8382,http://nces.ed.gov/transfer.asp?sec=true&location=www.arizonacollege.edu/,"4-year, Private for-profit",Bachelors degree,City: Large,No,263 (all undergraduate),20 to 1
Arcadia University,450 S Easton Rd, Glenside, Pennsylvania,19038-3295,(215) 572-2900,http://nces.ed.gov/transfer.asp?sec=true&location=www.arcadia.edu/,"4-year, Private not-for-profit","Bachelors degree, Postbaccalaureate certificate, Masters degree, Post-masters certificate, Doctors degree - research/scholarship, Doctors degree - professional practice",Suburb: Large,Yes,"3,300 (2,014 undergraduate)",11 to 1
Arizona College-Mesa,163 N Dobson Rd, Mesa, Arizona,85201,(855) 706-8382,http://nces.ed.gov/transfer.asp?sec=true&location=www.arizonacollege.edu/,"2-year, Private for-profit","Less than one year certificate, One but less than two years certificate, Associates degree",City: Large,No,355 (all undergraduate),20 to 1
Arkansas State University Mid-South,2000 W.  Broadway, West Memphis, Arkansas,72301-3829,(870) 733-6722,http://nces.ed.gov/transfer.asp?location=www.asumidsouth.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree",Suburb: Large,No,"1,203 (all undergraduate)",9 to 1
Arclabs, 2615 Highway 153  B-3, Piedmont, South Carolina,29673-6729,(864) 236-9995,http://nces.ed.gov/transfer.asp?sec=true&location=www.arclabs.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,552 (all undergraduate),20 to 1
Arizona Culinary Institute,10585 N 114th St Ste 401, Scottsdale, Arizona,85259,(480) 603-1066,http://nces.ed.gov/transfer.asp?location=www.azculinary.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Large,No,125 (all undergraduate),8 to 1
Arizona Academy of Beauty,5631 E Speedway Blvd, Tucson, Arizona,85712,(520) 885-4120,http://nces.ed.gov/transfer.asp?location=www.arizonaacademy.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Large,No,52 (all undergraduate),20 to 1
Arkansas State University Three Rivers,One College Circle, Malvern, Arkansas,72104-0816,(501) 337-5000 x1100,http://nces.ed.gov/transfer.asp?location=www.asutr.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree",Town: Fringe,No,"1,243 (all undergraduate)",14 to 1
Arizona School of Acupuncture and Oriental Medicine,2856 E Fort Lowell Rd, Tucson, Arizona,85716-1518,(520) 795-0787 x101,http://nces.ed.gov/transfer.asp?location=www.asaom.edu/,"4-year, Private for-profit",Masters degree,City: Large,No,13 (0 undergraduate),
Arizona Christian University,1 W. Firestorm Way, Glendale, Arizona,85306-3216,(602) 489-5300,http://nces.ed.gov/transfer.asp?location=arizonachristian.edu/,"4-year, Private not-for-profit","One but less than two years certificate, Associates degree, Bachelors degree",Suburb: Large,Yes,925 (all undergraduate),12 to 1
Arkansas State University-Beebe,1000 Iowa Street, Beebe, Arkansas,72012-1000,(501) 882-3600,http://nces.ed.gov/transfer.asp?location=www.asub.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree",Town: Fringe,Yes,"2,982 (all undergraduate)",17 to 1
Arkansas State University-Mountain Home,1600 South College Street, Mountain Home, Arkansas,72653,(870) 508-6100,http://nces.ed.gov/transfer.asp?location=www.asumh.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree",Rural: Fringe,No,"1,271 (all undergraduate)",14 to 1
